var;schldone
"male";.1777207
"mother";-.136642
"father";-.2894458
"age18";-1.196883
"age19";-.8065569
"age20";-.3696877
"age21";-.3576267
"age22";-.1583917
"age23";.0371063
"age24";-.0538813
"age25";-.1940382
"age26";-.352025
"age27";-.2454185
"age28";-.2483015
"age29";-.3042972
"age30";-.4063694
"age31";-.2951685
"age32";.0705658
"age33";.0864097
"age34";.4460807
"age35";.8576787
"schldone:byear";.0090788
"constant";-19.49913
