var;d
"male";-.664488
"mage";-.3264489
"mage2";.0100036
"mage3";-.0000917
"wage";-.3682866
"wage2";.0108235
"wage3";-.0000986
"insch";.330041
"des";-.072975
"dec";-.1582492
"uni";-.3838282
"kid";-.5446208
"constant";.8184402
