var;schldone
"male";.1843596
"mother";-.1844019
"father";-.1823828
"age18";-1.919495
"age19";-1.434736
"age20";-.9784116
"age21";-.9614558
"age22";-.6754257
"age23";-.4748321
"age24";-.5785111
"age25";-.7267553
"age26";-.8501796
"age27";-.7437248
"age28";-.7879386
"age29";-.8076774
"age30";-.9358158
"age31";-.816555
"age32";-.4474159
"age33";-.2910866
"age34";.1444826
"age35";.5934147
"constant";-1.074001
