var;m
"male";-.1816053
"age1619";-.7197018
"age2024";.2883405
"age2529";.3969127
"age3539";-.3304808
"age4044";-.410355
"age4549";-.5656801
"age5054";-.4711429
"age5559";-.9129483
"age6065";-.852123
"insch";-.6111159
"des";.2074059
"dec";.2874244
"uni";.2629075
"constant";-2.39587
