var;kid1;kid2;kid3
"dage2529";.509813;.1858098;-.1841037
"dage3034";.0217024;-.0239818;-.8312264
"dage35p";-.8570461;-.8728585;-1.674423
"lkidage";0;-.092236;-.0298769
"insch";-1.043574;.1456766;.4182723
"des";-.2530392;.2364123;.1408364
"dec";-.1217324;.2166154;.2845981
"uni";-.1754355;.4650412;.785537
"constant";-2.525642;-1.656492;-2.293015
