var;schldone
"male";.1842388
"mother";-.1244249
"father";-.1779595
"age18";-1.818488
"age19";-1.387604
"age20";-.9364517
"age21";-.93867
"age22";-.6491711
"age23";-.4537419
"age24";-.5478524
"age25";-.6856138
"age26";-.8134418
"age27";-.6886803
"age28";-.7199659
"age29";-.7094948
"age30";-.8371658
"age31";-.7060552
"age32";-.3388399
"age33";-.140956
"age34";.3182202
"age35";.8859026
"schldone:byear";.0051266
"constant";-11.17402
