year;male;CGT;tx0;tx1;tx2;tx3;tx4;tx5;tx6;tx7;tx8;tx9;tx10;tx11;tx12;tx13;tx14;tx15;tx16;tx17;tx18;tx19;tx20;tx21;tx22;tx23;tx24;tx25;tx26;tx27;tx28;tx29;tx30;tx31;tx32;tx33;tx34;tx35;tx36;tx37;tx38;tx39;tx40;tx41;tx42;tx43;tx44;tx45;tx46;tx47;tx48;tx49;tx50;tx51;tx52;tx53;tx54;tx55;tx56;tx57;tx58;tx59;tx60;tx61;tx62;tx63;tx64;tx65;tx66;tx67;tx68;tx69;tx70;tx71;tx72;tx73;tx74;tx75;tx76;tx77;tx78;tx79;tx80;tx81;tx82;tx83;tx84;tx85;tx86;tx87;tx88;tx89;tx90;tx91;tx92;tx93;tx94;tx95;tx96;tx97;tx98;tx99;tx100;tx101;tx102;tx103;tx104;tx105;tx106;tx107;tx108;tx109;tx110
2015;0;24;.0003839;.00010357;.00007929;.00006433;.00005533;.00005043;.00004871;.00004987;.00005412;.0000612;.00006985;.00007928;.0000895;.00010048;.0001122;.00012552;.00014271;.00016599;.00019423;.00022172;.00024347;.00025717;.00026129;.00025537;.00024383;.00023483;.00023193;.00023489;.00024394;.0002598;.00028193;.00030794;.00033656;.00036807;.00040279;.00044107;.00048329;.00052989;.00058136;.00063824;.00070112;.0007707;.00084773;.00093305;.00102762;.0011325;.0012489;.00137815;.00152177;.00168144;.00185846;.00205348;.00226759;.0025025;.00276009;.00304236;.00335148;.00368981;.00405987;.0044644;.00490634;.00538887;.0059154;.00648962;.00711547;.00779721;.00853943;.00934702;.01022528;.01117987;.01222782;.01340072;.01472678;.01622919;.01793523;.01987699;.02209243;.02462654;.02753286;.03087541;.03473098;.03919224;.04437149;.05040573;.05746309;.06575146;.07552997;.08712464;.10094995;.11753924;.13692708;.15883091;.18339315;.21081241;.23940804;.2697289;.30451713;.34278846;.38466774;.43022953;.47948631;.53237726;.58875879;.64839768;.71096812;.77605344;.84315322;.91169591;.98105664;1;1
2015;1;24;.00044832;.0001413;.00012252;.00010655;.00009294;.0000813;.00007134;.00006278;.00005541;.00005027;.00004948;.00005433;.00006655;.00009092;.00013855;.00021816;.00031448;.00039658;.00045111;.00048938;.00052047;.00054265;.00055466;.00055579;.00055004;.00054571;.00054688;.00055359;.00056605;.00058464;.00060882;.00063697;.00066836;.00070335;.00074232;.00078574;.00083413;.00088807;.00094827;.0010155;.00109068;.00117484;.00126919;.00137513;.00149427;.00162849;.00177995;.0019512;.00214521;.00236543;.0026138;.00288994;.00319478;.00353127;.00390264;.00431246;.00476469;.00526364;.00581411;.00642138;.00709125;.00783014;.00864514;.00954406;.01053554;.01162911;.01283533;.01416588;.01563367;.01725302;.01904686;.02104982;.02329683;.02582154;.02866287;.03186598;.03548343;.03957655;.04421726;.04949015;.05549519;.06235114;.07019978;.07921143;.08959206;.10159262;.11552137;.13176057;.15078926;.17321491;.19861805;.22641268;.25712854;.29093592;.32744038;.36611795;.4075243;.45220219;.50012932;.55122144;.60532612;.66221897;.72160276;.78311012;.84631008;.91071846;.97581172;1;1;1;1
2016;0;24;.00036885;.00009765;.00007477;.0000607;.00005223;.00004765;.00004608;.00004724;.00005135;.00005817;.00006652;.00007567;.00008563;.00009639;.00010793;.00012109;.00013804;.00016092;.00018866;.0002157;.00023712;.00025066;.00025477;.000249;.00023769;.00022883;.00022593;.00022875;.00023752;.0002529;.0002744;.00029967;.00032747;.00035807;.00039179;.00042895;.00046994;.00051518;.00056513;.00062032;.00068134;.00074884;.00082355;.0009063;.00099801;.0010997;.00121254;.00133783;.00147702;.00163174;.00180326;.00199221;.00219965;.00242724;.00267679;.00295025;.00324973;.00357751;.00393605;.00432801;.00475624;.00522383;.00573409;.00629062;.00689725;.00755813;.00827772;.00906079;.0099125;.01083837;.01185535;.0129948;.01428457;.01574768;.0174112;.01930709;.02147316;.02395434;.0268042;.0300869;.03387956;.03827543;.04338776;.04935498;.05634739;.06457603;.07430461;.08586574;.09968346;.11630495;.13570673;.15757295;.18209436;.20946836;.23803309;.26833218;.30307412;.34129031;.38310524;.42859343;.47776769;.53056797;.58685193;.64638811;.70885297;.77383255;.84082949;.90927555;.97854917;1;1
2016;1;24;.00043139;.00013433;.00011594;.00010048;.00008743;.00007639;.00006702;.00005904;.00005222;.00004752;.00004691;.00005164;.00006337;.00008671;.00013228;.00020847;.00030088;.00038011;.0004333;.00047104;.00050186;.00052402;.00053624;.00053779;.00053257;.00052869;.00053016;.00053703;.0005495;.00056796;.0005919;.00061969;.00065062;.00068501;.00072326;.00076581;.00081314;.00086584;.00092455;.00099004;.00106316;.00114491;.00123643;.00133905;.00145428;.00158391;.00172998;.00189488;.00208138;.00229273;.0025308;.00279534;.00308732;.0034096;.0037653;.00415787;.00459113;.0050693;.00559703;.00617945;.00682226;.00753173;.00831482;.0091792;.0101334;.01118684;.01234998;.01363442;.01505302;.0166201;.01835877;.02030326;.0224878;.02494598;.02771674;.03084536;.03438462;.03839632;.04295299;.04814022;.05405938;.06083116;.06860003;.07754001;.08786212;.09982416;.11374381;.13001628;.14913848;.17174295;.19724276;.22496127;.25558433;.28927982;.32567411;.36424259;.40550647;.45001984;.49776049;.54864495;.60252242;.65917106;.71829713;.77953763;.84246681;.90660635;.97143897;1;1;1;1
2017;0;24;.0003545;.00009213;.00007056;.0000573;.00004934;.00004505;.00004361;.00004477;.00004874;.00005531;.00006337;.00007225;.00008195;.00009248;.00010384;.00011683;.00013353;.00015602;.00018325;.00020982;.00023092;.00024428;.00024838;.00024275;.00023165;.00022294;.00022004;.00022273;.00023121;.00024614;.00026703;.00029157;.00031857;.00034829;.00038104;.00041712;.00045691;.00050082;.0005493;.00060286;.00066206;.00072754;.00080002;.00088027;.00096921;.00106781;.00117721;.00129865;.00143355;.00158349;.00174968;.00193275;.00213372;.00235421;.00259598;.00286091;.00315106;.00346863;.00381601;.00419578;.00461072;.00506383;.00555834;.00609771;.00668571;.00732635;.00802398;.00878325;.00960918;.01050715;.01149405;.01260097;.01385541;.01528018;.01690219;.01875319;.02087088;.0233001;.02609443;.02931812;.03304862;.0373797;.04242553;.04832592;.05525327;.06342172;.07309949;.08462576;.09843407;.11508552;.1345003;.15633026;.18081297;.20814471;.23668136;.26696163;.3016622;.33982916;.38158672;.42700937;.47611019;.52882986;.58502717;.64447229;.70684371;.77172996;.83863645;.90699792;.9761958;1;1
2017;1;24;.00041513;.00012775;.00010977;.00009482;.00008232;.00007184;.00006302;.00005557;.00004925;.00004495;.0000445;.0000491;.00006037;.00008273;.00012633;.00019927;.00028794;.00036439;.00041624;.00045342;.00048391;.000506;.00051839;.00052033;.00051559;.00051213;.00051388;.00052087;.00053333;.00055165;.00057532;.00060273;.00063317;.00066696;.00070448;.00074614;.00079243;.00084388;.00090113;.0009649;.00103601;.00111539;.00120415;.00130353;.00141498;.00154016;.00168101;.00183978;.00201908;.00222193;.00245014;.00270358;.00298329;.003292;.00363273;.00400883;.004424;.00488232;.00538831;.005947;.00656393;.00724523;.00799773;.00882897;.00974735;.01076216;.01188375;.01312362;.01449457;.01601086;.01769593;.01958363;.02170737;.02410068;.02680249;.02985816;.03332069;.03725223;.04172596;.04682835;.05266211;.05934979;.06703848;.0759058;.08616771;.0980888;.11199611;.12829771;.14750851;.17028624;.19587982;.2235234;.25405539;.2876413;.32392776;.3623895;.40351425;.44786704;.49542572;.54610759;.59976346;.65617396;.71504873;.77602908;.83869432;.90257182;.96715039;1;1;1;1
2018;0;24;.0003408;.00008699;.00006663;.00005412;.00004663;.00004261;.0000413;.00004245;.00004628;.00005261;.00006039;.000069;.00007844;.00008875;.00009992;.00011273;.00012917;.00015126;.00017799;.00020409;.00022486;.00023803;.00024211;.00023661;.00022573;.00021716;.00021427;.00021682;.00022503;.00023952;.0002598;.00028364;.00030987;.00033874;.00037053;.00040556;.00044419;.00048681;.00053387;.00058584;.00064328;.00070681;.00077711;.00085495;.00094119;.0010368;.00114286;.00126058;.00139132;.00153662;.00169766;.00187503;.00206974;.00228337;.0025176;.00277427;.00305537;.00336305;.00369963;.0040676;.00446966;.00490874;.00538796;.00591072;.00648064;.00710166;.00777799;.00851416;.00931507;.01018596;.01114362;.0122189;.01343894;.01482634;.0164078;.01821491;.0202852;.02266342;.02540312;.02856867;.03223775;.03650466;.04148441;.04731817;.05418037;.0622882;.07191432;.08340442;.09720153;.11388068;.13330745;.15510227;.17954812;.20684024;.23535129;.26561538;.30027895;.33840203;.38010852;.42547288;.47450849;.52715665;.58327722;.64264181;.70493081;.76973497;.83656224;.90485004;.97398251;1;1
2018;1;24;.00039951;.00012155;.00010399;.00008953;.00007756;.0000676;.0000593;.00005234;.00004648;.00004254;.00004223;.0000467;.00005754;.00007895;.00012069;.00019052;.00027562;.00034938;.00039991;.00043647;.00046661;.00048859;.0005011;.00050338;.0004991;.00049603;.00049802;.00050511;.00051754;.00053569;.00055907;.00058608;.00061602;.0006492;.00068598;.00072676;.000772;.00082222;.00087803;.0009401;.00100923;.0010863;.00117236;.00126859;.00137636;.00149724;.00163306;.00178592;.00195829;.00215299;.00237176;.0026146;.00288257;.00317833;.00350477;.00386515;.00426303;.0047024;.00518764;.00572363;.0063158;.00697013;.00769332;.00849276;.00937671;.01035433;.01143585;.01263265;.01395744;.0154244;.0170574;.01888993;.02095451;.02328457;.02591902;.02890326;.03229047;.03614315;.04053501;.0455534;.05130228;.057906;.06551417;.07430792;.08450805;.09638588;.1102777;.12660445;.14589902;.16884459;.19452907;.22209889;.25254148;.28602005;.32220094;.36055824;.40154712;.44574316;.49312425;.54360847;.59704817;.65322642;.71185615;.77258286;.8349908;.89861287;.96294383;1;1;1;1
2019;0;24;.00032774;.00008219;.00006295;.00005115;.0000441;.00004033;.00003912;.00004026;.00004396;.00005006;.00005758;.00006591;.00007511;.00008518;.00009616;.00010879;.00012497;.00014665;.00017288;.00019851;.00021894;.00023192;.00023597;.0002306;.00021992;.00021149;.0002086;.00021103;.00021897;.00023303;.00025273;.00027589;.00030136;.0003294;.00036027;.00039428;.00043179;.00047316;.00051882;.00056926;.00062499;.00068662;.00075482;.00083031;.00091395;.00100665;.00110947;.00122359;.00135031;.00149112;.00164715;.00181901;.00200766;.00221463;.00244156;.00269024;.00296259;.00326069;.00358679;.00394333;.00433292;.0047584;.00522282;.00572946;.00628186;.00688385;.00753951;.00825328;.00902991;.00987449;.01080377;.01184829;.01303483;.0143858;.01592768;.01769186;.01971572;.02204389;.02472988;.02783812;.03144654;.0356499;.04056402;.04633137;.05312837;.06117516;.07074882;.08220146;.0959856;.11269018;.13212784;.15388844;.17829902;.20555384;.23404148;.26429169;.29892221;.3370062;.3786673;.42397994;.47295776;.52554265;.58159543;.64088905;.70310561;.76783789;.83459613;.90282017;.9718966;1;1
2019;1;24;.0003845;.0001157;.00009857;.00008459;.00007312;.00006367;.00005584;.00004933;.0000439;.00004028;.0000401;.00004445;.00005485;.00007538;.00011533;.00018221;.00026389;.00033506;.00038426;.00042019;.00044993;.00047175;.00048435;.00048694;.00048309;.00048038;.00048258;.00048975;.00050213;.00052009;.00054315;.00056975;.00059918;.00063174;.00066777;.00070767;.00075186;.00080086;.00085524;.00091565;.00098284;.00105765;.00114108;.00123425;.00133844;.00145516;.00158611;.00173329;.00189899;.00208588;.00229562;.00252832;.00278509;.00306847;.00338127;.00372663;.00410802;.00452927;.00499468;.00550898;.00607745;.00670596;.00740104;.00816996;.00902082;.00996264;.01100552;.0121607;.01344078;.01485985;.01644227;.0182212;.02022821;.02249662;.02506526;.02797957;.03129288;.03506796;.03937905;.0443143;.04997885;.05649878;.06402614;.07274548;.08288237;.09471473;.10858802;.12493605;.14430971;.1674178;.19319037;.22068753;.25104236;.28441575;.32049329;.35874837;.39960454;.44364755;.49085533;.5411467;.59437554;.65032725;.70871805;.76919745;.83135453;.8947276;.95881717;1;1;1;1
