var;kid1;kid2;kid3
"dage2529";.5116954;.1961263;-.1799256
"dage3034";.0205498;-.0117974;-.8044845
"dage35p";-.8581867;-.8542351;-1.658509
"lkidage";0;-.0928775;-.0300885
"insch";-1.039765;.1716837;.4880875
"des";-.2211994;.2211915;.0707511
"dec";-.1219525;.2147954;.282985
"uni";-.1757571;.4611697;.7800317
"constant";-2.525909;-1.662269;-2.305191
