var;kid1;kid2;kid3
"dage2529";.5116954;.1955549;-.1804938
"dage3034";.0205498;-.0135002;-.8059217
"dage35p";-.8581867;-.8572474;-1.661607
"lkidage";0;-.0923291;-.0295703
"insch";-1.039765;.1724373;.4886841
"des";-.2211994;.2217852;.0713647
"dec";-.1219525;.2154297;.2835401
"uni";-.1757571;.4624766;.7812541
"constant";-2.525909;-1.663927;-2.306719
