year;male;CGT;tx0;tx1;tx2;tx3;tx4;tx5;tx6;tx7;tx8;tx9;tx10;tx11;tx12;tx13;tx14;tx15;tx16;tx17;tx18;tx19;tx20;tx21;tx22;tx23;tx24;tx25;tx26;tx27;tx28;tx29;tx30;tx31;tx32;tx33;tx34;tx35;tx36;tx37;tx38;tx39;tx40;tx41;tx42;tx43;tx44;tx45;tx46;tx47;tx48;tx49;tx50;tx51;tx52;tx53;tx54;tx55;tx56;tx57;tx58;tx59;tx60;tx61;tx62;tx63;tx64;tx65;tx66;tx67;tx68;tx69;tx70;tx71;tx72;tx73;tx74;tx75;tx76;tx77;tx78;tx79;tx80;tx81;tx82;tx83;tx84;tx85;tx86;tx87;tx88;tx89;tx90;tx91;tx92;tx93;tx94;tx95;tx96;tx97;tx98;tx99;tx100;tx101;tx102;tx103;tx104;tx105;tx106;tx107;tx108;tx109;tx110
2015;0;24;.00041203;.00011528;.00008838;.00007176;.0000617;.00005619;.00005419;.00005534;.00005985;.00006741;.0000766;.00008652;.00009716;.00010846;.00012036;.00013381;.00015127;.0001751;.0002041;.00023231;.00025457;.00026858;.00027282;.00026681;.00025508;.00024598;.00024319;.00024649;.00025613;.00027285;.00029611;.00032343;.0003535;.00038662;.00042312;.00046336;.00050776;.00055678;.00061093;.00067079;.00073699;.00081026;.0008914;.00098131;.001081;.0011916;.00131438;.00145078;.00160239;.00177102;.00195805;.00216412;.00239039;.00263867;.00291093;.00320928;.00353602;.00389363;.00428478;.00471234;.00517942;.00568935;.00624573;.00685243;.0075136;.00823371;.00901756;.00987032;.0107975;.01180507;.01291015;.0141447;.01553748;.017112;.01889581;.02092127;.02322647;.02585644;.02886462;.03231462;.03628252;.04085976;.04615676;.05230766;.05947645;.067865;.07772384;.08936667;.10319033;.11970275;.13903337;.16095469;.18552753;.21295077;.24152852;.27181193;.30657312;.34481471;.38666126;.43218701;.48140407;.53425128;.59058472;.6501709;.71268382;.77770674;.84473933;.9132103;.9824952;1;1
2015;1;24;.00047098;.00015114;.00013186;.00011521;.00010081;.00008834;.00007754;.00006815;.00006;.00005424;.00005319;.00005821;.00007111;.00009693;.00014745;.00023179;.00033346;.00041939;.00047558;.00051441;.00054575;.00056789;.0005796;.00058019;.0005738;.00056893;.00056974;.00057626;.00058868;.00060739;.00063185;.00066041;.00069236;.00072806;.00076794;.00081247;.00086221;.00091777;.00097989;.0010494;.00112728;.00121462;.00131273;.00142309;.00154744;.0016878;.00184652;.00202635;.00223051;.00246277;.00272517;.00301714;.00333951;.00369538;.00408814;.00452151;.00499959;.00552689;.00610834;.00674941;.00745607;.00823491;.00909317;.01003881;.01108062;.01222825;.01349234;.01488464;.01641808;.01810695;.01997439;.02205568;.02438617;.02699953;.0299346;.0332363;.03695679;.04115674;.04590707;.05129094;.05740634;.06436926;.0723177;.08141688;.09186585;.10390616;.11783335;.13401231;.1528982;.17506534;.20028226;.22806662;.25876819;.29255752;.32903788;.36768245;.4090507;.45368852;.50157346;.5526211;.60667892;.66352245;.72285444;.78430759;.84745108;.91180098;.97683409;1;1;1;1
2016;0;24;.00040276;.00011154;.00008556;.00006951;.00005981;.0000545;.0000526;.00005376;.00005819;.00006559;.0000746;.00008436;.00009484;.000106;.0001178;.00013115;.00014845;.00017204;.00020074;.00022867;.00025075;.00026468;.00026894;.00026306;.0002515;.00024252;.00023975;.00024299;.00025246;.0002689;.00029178;.00031865;.00034823;.0003808;.00041668;.00045625;.0004999;.00054809;.00060132;.00066016;.00072523;.00079723;.00087697;.00096532;.00106327;.00117194;.00129257;.00142657;.00157551;.00174117;.00192488;.00212731;.00234957;.00259344;.00286087;.00315393;.00347489;.00382618;.00421042;.00463045;.00508931;.00559031;.00613697;.0067331;.0073828;.00809047;.00886085;.00969901;.01061041;.01160092;.01268765;.01390242;.01527378;.01682517;.01858403;.02058263;.02285902;.02545821;.02843366;.03184908;.03578077;.04032053;.04557932;.05169214;.0588242;.06717915;.0770101;.0886344;.10245414;.11898479;.13831916;.16020905;.18474525;.21212557;.2406693;.27092295;.30563206;.34381188;.38558658;.4310303;.48015542;.53290148;.58912574;.64859643;.71098977;.77589175;.84280511;.91116194;.98034121;1;1
2016;1;24;.00045878;.00014607;.00012703;.00011072;.00009673;.00008469;.00007433;.00006539;.00005765;.00005222;.00005132;.00005626;.00006882;.0000939;.00014294;.00022482;.00032367;.00040755;.00046282;.00050132;.00053251;.00055467;.00056657;.00056751;.00056153;.00055701;.00055806;.00056472;.00057718;.00059582;.00062012;.00064844;.00068008;.00071539;.00075477;.0007987;.0008477;.0009024;.00096349;.00103178;.00110821;.00119386;.00128997;.00139799;.00151957;.00165668;.00181156;.00198685;.00218564;.00241154;.00266654;.00295015;.00326326;.00360889;.00399033;.00441125;.00487565;.00538794;.00595298;.00657613;.00726328;.00802093;.00885623;.00977706;.01079212;.011911;.0131443;.01450371;.01600216;.01765393;.01948235;.02152241;.02380894;.0263756;.02926127;.03251099;.03617708;.04032056;.04501282;.05033774;.05639429;.0632998;.07119418;.08024516;.09065524;.10267062;.11659316;.13279639;.1517473;.17403669;.19930899;.22701548;.25762132;.29129475;.32765941;.36618721;.40740384;.45186744;.4995556;.55038469;.60420381;.66079102;.71985257;.78102559;.84388449;.90795128;.9727091;1;1;1;1
2017;0;24;.00039377;.00010796;.00008286;.00006735;.00005799;.00005287;.00005106;.00005223;.00005657;.00006383;.00007267;.00008225;.00009258;.00010361;.00011529;.00012854;.00014569;.00016904;.00019743;.00022508;.00024698;.00026082;.0002651;.00025933;.00024793;.00023907;.00023632;.00023948;.00024879;.00026496;.00028747;.0003139;.00034299;.00037501;.0004103;.0004492;.00049212;.0005395;.00059182;.00064965;.0007136;.00078437;.00086273;.00094955;.0010458;.00115257;.00127109;.00140274;.00154906;.00171179;.00189225;.0020911;.00230941;.00254897;.00281165;.00309952;.0034148;.00375987;.00413732;.00454995;.00500074;.00549295;.00603004;.00661578;.00725419;.00794962;.00870672;.0095305;.01042635;.01140004;.01246867;.01366392;.01501415;.01654268;.01827687;.02024889;.02249674;.02506541;.02800837;.03138944;.03528512;.03978754;.04500824;.05108302;.05817832;.0664996;.07630248;.08790802;.10172356;.11827219;.13761098;.15947149;.18397384;.21131479;.23982787;.27005527;.3047176;.34284192;.38455205;.42992205;.47896454;.53161971;.58774591;.64711291;.70939899;.77419258;.84099926;.90925414;.97833932;1;1
2017;1;24;.00044691;.0001412;.00012241;.00010645;.00009285;.00008124;.0000713;.00006276;.00005542;.00005031;.00004953;.0000544;.00006662;.00009099;.00013859;.0002181;.00031422;.0003961;.00045044;.00048858;.00051958;.00054174;.0005538;.00055506;.00054947;.00054529;.00054656;.00055334;.00056582;.00058438;.00060851;.00063658;.00066789;.00070279;.00074167;.00078499;.00083326;.00088708;.00094714;.00101422;.00108923;.0011732;.00126734;.00137304;.00149191;.00162583;.00177695;.00194782;.00214139;.00236112;.00260894;.00288445;.00318859;.0035243;.00389481;.00430367;.00475482;.00525258;.00580174;.00640753;.00707577;.00781287;.00862587;.00952258;.01051162;.01160249;.01280573;.01413299;.01559714;.0172125;.01900261;.02100222;.02324559;.02576634;.02860338;.03180182;.03541419;.0395018;.04413649;.04940282;.05540071;.06224885;.07008895;.07909125;.08946165;.10145096;.11536735;.13159295;.15060666;.17301581;.19834259;.22597274;.25648484;.29004488;.3262964;.36471001;.40577852;.45007195;.49756796;.54818367;.60176977;.65810682;.71690448;.77780417;.84038545;.90417607;.96866535;1;1;1;1
2018;0;24;.00038504;.00010453;.00008026;.00006527;.00005623;.0000513;.00004957;.00005074;.00005501;.00006212;.00007079;.00008021;.00009038;.00010127;.00011285;.00012599;.00014299;.00016609;.00019417;.00022155;.00024325;.000257;.00026129;.00025563;.00024439;.00023563;.0002329;.000236;.00024514;.00026104;.00028318;.00030917;.00033778;.00036927;.00040397;.00044223;.00048442;.00053099;.00058243;.00063927;.00070213;.00077168;.00084869;.00093401;.00102858;.00113349;.00124994;.00137928;.00152303;.00168289;.00186016;.00205548;.00226993;.00250523;.00276326;.00304603;.00335572;.00369468;.00406547;.00447081;.00491367;.00539724;.00592493;.00650044;.00712775;.00781112;.00855515;.00936478;.0102453;.01120242;.0122532;.0134292;.01475857;.01626452;.01797431;.01992004;.02213964;.02467805;.02758878;.03093573;.0347956;.03926085;.04444355;.05048034;.05753888;.06582637;.07560101;.08718753;.10099856;.11756484;.13690859;.15874158;.18321254;.21051733;.2390028;.26920713;.30382749;.341902;.38355417;.42885798;.47782629;.53039988;.58643809;.64571213;.70790212;.77259874;.83931011;.90747412;.97647568;1;1
2018;1;24;.00043536;.00013654;.00011802;.0001024;.00008918;.00007797;.00006842;.00006027;.0000533;.00004848;.00004783;.00005261;.00006451;.00008819;.00013441;.00021161;.0003051;.00038502;.00043843;.00047617;.00050696;.00052909;.00054129;.00054284;.00053763;.00053376;.00053524;.00054212;.0005546;.00057307;.00059701;.00062482;.0006558;.00069027;.00072864;.00077134;.00081888;.00087183;.00093086;.00099673;.00107033;.00115264;.00124484;.00134827;.00146448;.00159527;.00174273;.00190928;.00209777;.0023115;.00255235;.00282003;.00311548;.00344159;.0038015;.0041987;.00463703;.00512074;.00565449;.00624348;.00689339;.00761054;.00840189;.00927516;.01023887;.01130245;.01247636;.01377217;.01520274;.01678233;.01853485;.02049479;.02269578;.02517139;.02796055;.03110844;.03466775;.03870007;.04327769;.04848581;.05442527;.06121606;.06900169;.07795486;.08828481;.10024696;.11415573;.13040186;.14947616;.17200262;.19738298;.22493828;.25535859;.28880769;.32494853;.36325047;.40417429;.44830151;.49560986;.54601722;.59937585;.65546872;.71400884;.77464183;.83695225;.90047345;.96470077;1;1;1;1
2019;0;24;.00037656;.00010125;.00007777;.00006328;.00005453;.00004978;.00004814;.00004931;.0000535;.00006046;.00006896;.00007822;.00008824;.000099;.00011046;.0001235;.00014034;.0001632;.00019097;.00021806;.00023957;.00025322;.00025751;.00025196;.00024086;.00023221;.0002295;.00023252;.00024151;.00025714;.00027891;.00030448;.00033261;.00036359;.00039771;.00043532;.0004768;.00052259;.00057315;.00062903;.00069081;.00075917;.00083485;.00091869;.00101162;.00111471;.00122912;.00135619;.00149741;.00165445;.00182858;.00202045;.0022311;.00246223;.00271568;.00299344;.00329764;.00363061;.00399484;.00439303;.00482809;.00530316;.0058216;.00638706;.00700344;.00767495;.00840611;.0092018;.01006723;.01100803;.01204121;.01319823;.01450701;.01599067;.01767636;.01959608;.0217877;.02429613;.02717488;.03048795;.03431221;.03874045;.04388528;.04988414;.05690588;.06515949;.0749057;.08647292;.10027909;.11686266;.1362118;.15801889;.18246071;.20973222;.23819281;.26837694;.30295969;.34098954;.38258974;.42783419;.47673599;.52923645;.58519583;.64438665;.7064907;.77110071;.83772712;.90581031;.97473777;1;1
2019;1;24;.00042414;.00013206;.00011382;.00009854;.00008569;.00007486;.0000657;.00005791;.00005128;.00004673;.0000462;.00005089;.00006248;.0000855;.00013038;.00020536;.00029629;.00037429;.00042676;.0004641;.00049465;.00051672;.00052903;.00053086;.00052599;.00052243;.0005241;.00053107;.00054354;.0005619;.00058564;.00061317;.0006438;.00067784;.00071569;.00075777;.00080457;.00085665;.00091466;.00097933;.00105152;.0011322;.00122249;.00132369;.00143728;.00156501;.00170889;.00187124;.00205478;.00226268;.00249678;.00275686;.00304391;.00336072;.00371037;.00409628;.0045222;.00499229;.00551114;.00608383;.00671597;.00741377;.00818411;.00903459;.00997365;.01101064;.01215591;.01342099;.01481866;.01636314;.01807877;.01999981;.02215918;.02459042;.02733244;.03043049;.0339374;.03791503;.04243607;.04758635;.05346762;.06020111;.0679321;.07683571;.08712449;.0990584;.11295811;.12922295;.14835569;.17099705;.19643009;.22391198;.2542424;.28758293;.32361553;.36180826;.4025907;.44655557;.49368064;.54388456;.5970211;.65287563;.7111644;.77153713;.83358325;.89684159;.96081334;1;1;1;1
